,,,,NORM 2 V MEAN,,,,,,,,
,V_ pl 1,V pl2,CBD _Pl1,NORM_V_ pl 1,NORM_V_ pl 2,AVG NORM_V,STD DEV,PLUS 1 STDEV,MINUS 1 STD DEV,NORM V _CBD _Pl1,,
G23,201722,244482,175622,0.773696423,0.937700642,0.855698533,0.115968495,0.971667028,0.739730038,0.673590948,,
G24,590862,399441,438003,2.266226867,1.532039505,1.899133186,0.519148862,2.418282049,1.379984324,1.679942468,,
H01,302179,297951,365757,1.15899511,1.14277879,1.15088695,0.01146667,1.16235362,1.13942028,1.40284591,,
H02,172420,70297,188445,0.661309809,0.269621248,0.465465529,0.276965637,0.742431166,0.188499891,0.722773037,,
H03,228544,208789,142447,0.8765711,0.800801611,0.838686355,0.053577119,0.892263475,0.785109236,0.546349602,,
H04,213981,161147,227733,0.820715313,0.618072682,0.719393998,0.143289979,0.862683976,0.576104019,0.873460543,,
H05,180102,141909,180613,0.690773804,0.544286125,0.617529965,0.103582431,0.721112395,0.513947534,0.692733723,,
H06,188490,109690,151492,0.722945632,0.420711478,0.571828555,0.21371182,0.785540375,0.358116735,0.581041327,,
H07,122081,104328,146140,0.468236648,0.400145747,0.434191198,0.048147537,0.482338735,0.38604366,0.560513951,,
H08,201488,178425,299843,0.772798926,0.684341739,0.728570333,0.062548677,0.791119009,0.666021656,1.150035478,,
H09,128427,161260,200817,0.492576469,0.618506089,0.555541279,0.089045688,0.644586967,0.466495591,0.770225333,,
H10,140319,235076,256289,0.538187746,0.901624317,0.719906031,0.256988464,0.976894495,0.462917567,0.982985905,,
H11,177990,277669,160102,0.682673315,1.064988014,0.873830664,0.270337316,1.144167981,0.603493348,0.614064627,,
H12,137895,194588,186444,0.528890594,0.74633426,0.637612427,0.153755891,0.791368318,0.483856536,0.715098284,,
H13,200197,157746,175355,0.767847349,0.605028287,0.686437818,0.115130463,0.801568281,0.571307355,0.672566881,,
H14,86359,110170,159622,0.331226388,0.422552498,0.376889443,0.064577312,0.441466754,0.312312131,0.612223607,,
H15,148217,166770,203578,0.568480199,0.639639467,0.604059833,0.050317201,0.654377034,0.553742633,0.780815035,,
H16,129386,151353,164740,0.496254674,0.580508198,0.538381436,0.059576238,0.597957674,0.478805198,0.631853485,,
H17,151762,170131,178783,0.582076901,0.652530444,0.617303672,0.049818178,0.66712185,0.567485494,0.685714834,,
H18,206523,170773,201576,0.792110461,0.654992809,0.723551635,0.096956822,0.820508457,0.626594813,0.773136446,,
H19,187796,165801,155387,0.720283824,0.635922907,0.678103366,0.059652176,0.737755542,0.618451189,0.595980439,,
H20,210463,151497,130813,0.807222169,0.581060504,0.694141337,0.159920447,0.854061783,0.53422089,0.501727874,,
H21,128235,152301,127476,0.491840061,0.584144213,0.537992137,0.065268892,0.603261029,0.472723246,0.488928948,,
H22,196544,192092,136377,0.753836418,0.736760955,0.745298686,0.012074175,0.757372862,0.733224511,0.523068367,,
H23,131266,124928,152164,0.503465337,0.479156199,0.491310768,0.017189156,0.508499924,0.474121612,0.583618755,,
H24,415267,252583,280333,1.592739476,0.968771694,1.280755585,0.44121185,1.721967435,0.839543735,1.075205676,,
I01,483561,543776,518092,1.854678301,2.085630454,1.970154377,0.163307833,2.13346221,1.806846544,1.987120529,,
I02,278048,358548,310026,1.066441653,1.375196088,1.22081887,0.218322355,1.439141225,1.002496516,1.189091955,,
I03,330405,304557,327804,1.26725477,1.168115831,1.217685301,0.070101816,1.287787117,1.147583484,1.257278742,,
I04,215094,249238,361348,0.824984179,0.955942085,0.890463132,0.092601223,0.983064355,0.797861908,1.385935373,,
I05,279107,439799,270194,1.070503404,1.686830952,1.378667178,0.435809389,1.814476567,0.942857789,1.03631796,,
I06,319468,328823,277801,1.225306357,1.261187075,1.243246716,0.025371498,1.268618214,1.217875217,1.065494295,,
I07,360668,640980,378341,1.383327261,2.458452392,1.920889826,0.760228271,2.681118098,1.160661555,1.451111324,,
I08,352381,202984,308555,1.351542813,0.778536772,1.065039793,0.405176457,1.47021625,0.659863336,1.183449995,,
I09,423979,190465,409217,1.626153994,0.730520664,1.178337329,0.633308401,1.81164573,0.545028927,1.569534951,,
I10,422154,438648,281078,1.619154281,1.682416339,1.65078531,0.04473303,1.69551834,1.60605228,1.078063093,,
I11,353539,405766,237849,1.355984275,1.556298782,1.456141528,0.141643747,1.597785275,1.314497782,0.912260044,,
I12,305732,420199,345704,1.172622495,1.611655959,1.392139227,0.31044354,1.702582767,1.081695687,1.325933455,,
I13,265759,297227,232758,1.0193077,1.140001918,1.079654809,0.0853437,1.164998509,0.994311109,0.892733723,,
I14,381771,395720,271030,1.464266948,1.517767763,1.491017355,0.037830789,1.528848145,1.453186566,1.039524403,,
I15,311860,376665,280096,1.196126187,1.444683095,1.320404641,0.175756276,1.496160917,1.144648365,1.074296673,,
I16,366424,285184,325186,1.405404161,1.093811487,1.249607824,0.220329293,1.469937117,1.029278531,1.247237511,,
I17,288075,348686,314836,1.104899799,1.337370793,1.221135296,0.164381817,1.385517112,1.056753479,1.207540512,,
I18,270669,276093,252348,1.038139802,1.058943331,1.048541567,0.014710316,1.063251883,1.033831251,0.967870361,,
I19,268717,225322,231429,1.030652987,0.864213252,0.947433119,0.117690666,1.065123785,0.829742454,0.887636399,,
I20,207133,318707,293191,0.794450091,1.222387573,1.008418832,0.302597495,1.311016328,0.705821337,1.124522006,,
I21,303302,222389,289142,1.16330233,0.852963851,1.00813309,0.219442443,1.227575534,0.788690647,1.108992233,,
I22,247864,239468,241296,0.950672164,0.918469652,0.934570908,0.022770615,0.957341523,0.911800293,0.925480871,,
I23,280755,481555,233144,1.07682424,1.846984371,1.461904305,0.544585451,2.006489756,0.917318854,0.89421421,,
I24,673282,528274,671709,2.582345383,2.026173171,2.304259277,0.393273143,2.69753242,1.910986134,2.576312206,,
J01,195514,106214,282175,0.749885895,0.407379423,0.578632659,0.242188649,0.820821308,0.33644401,1.082270592,,
J02,366600,472795,334769,1.406079202,1.813385751,1.609732477,0.288009223,1.8977417,1.321723254,1.283992713,,
J03,270695,354870,314997,1.038239524,1.36108927,1.199664397,0.228289245,1.427953642,0.971375153,1.208158021,,
J04,285748,280156,378356,1.095974686,1.0745268,1.085250743,0.015165945,1.100416689,1.070084798,1.451168856,,
J05,208183,182506,226787,0.798477323,0.699994247,0.749235785,0.069638051,0.818873836,0.679597734,0.869832199,,
J06,280123,207542,326824,1.07440023,0.796018794,0.935209512,0.196845401,1.132054913,0.738364111,1.253519992,,
J07,286640,212522,335768,1.099395915,0.815119379,0.957257647,0.201013867,1.158271514,0.75624378,1.287824336,,
J08,198914,137081,190749,0.762926455,0.52576853,0.644347493,0.167695977,0.81204347,0.476651516,0.731609934,,
J09,184816,180073,271109,0.708854157,0.690662576,0.699758366,0.01286339,0.712621756,0.686894976,1.039827404,,
J10,312107,250390,252263,1.197073545,0.960360533,1.078717039,0.167381376,1.246098415,0.911335663,0.967544347,,
J11,291968,306256,342171,1.11983124,1.174632275,1.147231758,0.038750184,1.185981941,1.108481574,1.312382779,,
J12,317389,270192,389959,1.217332438,1.036310289,1.126821364,0.12800199,1.254823353,0.998819374,1.495671685,,
J13,200540,231208,347900,0.769162911,0.886788762,0.827975837,0.083174037,0.911149873,0.7448018,1.334356122,,
J14,242496,268279,211313,0.930083421,1.028973056,0.979528239,0.069925531,1.04945377,0.909602707,0.810482309,,
J15,196347,243725,345255,0.753080832,0.9347972,0.843939016,0.128492876,0.972431892,0.71544614,1.324211334,,
J16,237219,261042,343464,0.909843705,1.00121584,0.955529773,0.064609857,1.020139629,0.890919916,1.317342027,,
