,,,PltRpt=1 Group=1 new alamar blue(1) De=1st Ex=Top Em=Top Wdw=N/A (14),
Plate,Well,Sample,Signal,
2,M21,-,171253,
2,M22,-,192256,
2,M23,-,356927,
2,M24,-,333262,
2,N01,-,303708,
2,N02,-,242650,
2,N03,-,129501,
2,N04,-,161104,
2,N05,-,146030,
2,N06,-,160754,
2,N07,-,205748,
2,N08,-,137706,
2,N09,-,128277,
2,N10,-,144360,
2,N11,-,317263,
2,N12,-,154192,
2,N13,-,117222,
2,N14,-,189992,
2,N15,-,154103,
2,N16,-,186461,
2,N17,-,141290,
2,N18,-,44860,
2,N19,-,196958,
2,N20,-,168913,
2,N21,-,155061,
2,N22,-,99641,
2,N23,-,176717,
2,N24,-,353629,
2,O01,-,313954,
2,O02,-,247868,
2,O03,-,282521,
2,O04,-,206202,
2,O05,-,181164,
2,O06,-,268122,
2,O07,-,233235,
2,O08,-,311867,
2,O09,-,146837,
2,O10,-,272327,
2,O11,-,416923,
2,O12,-,178006,
2,O13,-,175185,
2,O14,-,245776,
2,O15,-,172138,
2,O16,-,190032,
2,O17,-,195066,
2,O18,-,304445,
2,O19,-,74462,
2,O20,-,133603,
2,O21,-,296693,
2,O22,-,304976,
2,O23,-,264263,
2,O24,-,278041,
2,P01,-,370242,
2,P02,-,346148,
2,P03,-,251571,
2,P04,-,252066,
2,P05,-,364655,
2,P06,-,315671,
2,P07,-,138322,
2,P08,-,210507,
2,P09,-,229448,
2,P10,-,296661,
2,P11,-,270034,
2,P12,-,272777,
2,P13,-,257800,
2,P14,-,250151,
2,P15,-,223119,
2,P16,-,264878,
2,P17,-,236372,
2,P18,-,278579,
2,P19,-,296402,
2,P20,-,251741,
2,P21,-,308068,
2,P22,-,248969,
2,P23,-,272664,
2,P24,-,498243,

,,,PltRpt=1 Group=1 new alamar blue(1) De=1st Ex=Top Em=Top Wdw=N/A (14),
Plate,Well,Sample,Signal,
3,A01,-,335168,
3,A02,-,233838,
3,A03,-,209363,
3,A04,-,128066,
3,A05,-,165393,
3,A06,-,340400,
3,A07,-,224085,
3,A08,-,370327,
3,A09,-,439134,
3,A10,-,216542,
3,A11,-,185513,
3,A12,-,263003,
3,A13,-,191172,
3,A14,-,206926,
3,A15,-,274819,
3,A16,-,198759,
3,A17,-,165606,
3,A18,-,216024,
3,A19,-,214205,
3,A20,-,230845,
3,A21,-,240522,
3,A22,-,185608,
3,A23,-,243796,
3,A24,-,669084,
3,B01,-,269094,
3,B02,-,120060,
3,B03,-,162114,
